Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After
2023-11-20,PE,10:32,19750,73.9,11:09,93.5,65,4803.5,-1274.0,SL Hit (19705.8 <= 19710.1),171662.5
2023-11-20,PE,11:58,19700,86.15,12:00,89.8,65,5599.75,-237.25,SL Hit (19674.7 <= 19676.9),171425.25
2023-11-20,CE,10:49,19750,97.4,15:16,68.6,65,6331.0,1872.0,Settlement 15:15,173297.25
2023-11-20,PE,12:10,19700,81.9,15:16,72.6,65,5323.5,604.5,Settlement 15:15,173901.75
2023-11-21,CE,09:55,19800,67.25,11:34,66.6,65,4371.25,42.25,SL Hit (19787.0 >= 19785.9),173944.0
2023-11-21,CE,13:16,19800,58.8,15:16,67.75,65,3822.0,-581.75,Settlement 15:15,173362.25
2023-11-21,PE,10:33,19800,64.1,15:16,56.7,65,4166.5,481.0,Settlement 15:15,173843.25
2023-11-22,PE,09:56,19800,40.7,10:24,47.05,65,2645.5,-412.75,SL Hit (19796.3 <= 19798.0),173430.5
2023-11-22,PE,11:23,19800,39.4,11:27,42.5,65,2561.0,-201.5,SL Hit (19795.5 <= 19796.3),173229.0
2023-11-22,CE,10:28,19800,66.45,15:16,61.7,65,4319.25,308.75,Settlement 15:15,173537.75
2023-11-22,PE,13:17,19750,53.15,15:16,13.2,65,3454.75,2596.75,Settlement 15:15,176134.5
2023-11-23,PE,11:09,19800,20.95,11:11,25.95,65,1361.75,-325.0,SL Hit (19802.4 <= 19802.9),175809.5
2023-11-23,PE,12:13,19800,21.05,14:50,6.85,65,1368.25,923.0,SL Hit (19791.2 <= 19794.7),176732.5
2023-11-23,CE,09:57,19850,36.1,15:16,0.1,65,2346.5,2340.0,Settlement 15:15,179072.5
2023-11-24,PE,10:15,19800,73.9,13:04,70.65,65,4803.5,211.25,SL Hit (19786.4 <= 19786.9),179283.75
2023-11-24,CE,09:55,19800,97.65,15:16,97.05,65,6347.25,39.0,Settlement 15:15,179322.75
2023-11-24,PE,13:32,19800,67.7,15:16,62.5,65,4400.5,338.0,Settlement 15:15,179660.75
2023-11-28,CE,10:00,19800,98.1,12:09,100.55,65,6376.5,-159.25,SL Hit (19834.8 >= 19832.2),179501.5
2023-11-28,CE,13:06,19850,65.65,14:19,78.1,65,4267.25,-809.25,SL Hit (19836.2 >= 19834.2),178692.25
2023-11-28,CE,14:56,19850,99.7,15:08,112.3,65,6480.5,-819.0,SL Hit (19887.0 >= 19883.1),177873.25
2023-11-28,PE,10:42,19800,44.9,15:16,21.35,65,2918.5,1530.75,Settlement 15:15,179404.0
2023-11-29,PE,10:03,20000,42.0,10:42,40.0,65,2730.0,130.0,SL Hit (19995.5 <= 19996.9),179534.0
2023-11-29,CE,10:35,20000,72.85,11:29,79.95,65,4735.25,-461.5,SL Hit (20017.0 >= 20015.1),179072.5
2023-11-29,CE,12:35,20050,51.95,12:41,55.0,65,3376.75,-198.25,SL Hit (20039.0 >= 20038.4),178874.25
