Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After,Spot_945,Slope_CE,Slope_PE
2023-08-23,PE,09:45,19400,60.75,09:53,74.35,65,3948.75,-884.0,SL Hit (74.35 >= 72.90),130355.0,19405.2,-2.9,-6.8
2023-08-24,PE,09:45,19550,23.4,10:03,28.35,65,1521.0,-321.75,SL Hit (28.35 >= 28.08),130033.25,19574.6,18.95,-38.65
2023-08-25,PE,09:45,19300,87.8,10:20,112.1,65,5707.0,-1579.5,SL Hit (112.10 >= 105.36),128453.75,19322.95,9.5,-24.5
2023-08-28,CE,09:45,19300,82.0,12:32,99.05,65,5330.0,-1108.25,SL Hit (99.05 >= 98.40),127345.5,19304.55,-2.35,-1.6
2023-08-29,CE,09:45,19350,62.95,15:15,47.2,65,4091.75,1023.75,Settlement 15:15,128369.25,19348.5,-3.4,-2.35
2023-08-30,PE,09:45,19450,57.85,14:12,72.3,65,3760.25,-939.25,SL Hit (72.30 >= 69.42),127430.0,19426.9,7.7,-17.2
2023-08-31,PE,09:45,19350,30.55,10:08,38.8,65,1985.75,-536.25,SL Hit (38.80 >= 36.66),126893.75,19366.5,3.05,-9.9
2023-09-01,PE,09:45,19300,73.75,15:15,38.95,65,4793.75,2262.0,Settlement 15:15,129155.75,19320.0,8.1,-16.55
2023-09-04,CE,09:45,19450,89.7,12:18,110.45,65,5830.5,-1348.75,SL Hit (110.45 >= 107.64),127807.0,19472.5,-12.75,2.45
2023-09-05,PE,09:45,19550,53.15,13:23,65.2,65,3454.75,-783.25,SL Hit (65.20 >= 63.78),127023.75,19568.1,11.3,-13.9
2023-09-06,PE,09:45,19600,61.6,10:01,74.2,65,4004.0,-819.0,SL Hit (74.20 >= 73.92),126204.75,19588.35,2.35,-3.85
2023-09-07,CE,09:45,19550,34.3,09:49,43.4,65,2229.5,-591.5,SL Hit (43.40 >= 41.16),125613.25,19569.2,-7.35,0.65
2023-09-08,PE,09:45,19800,95.75,10:23,122.5,65,6223.75,-1738.75,SL Hit (122.50 >= 114.90),123874.5,19778.55,20.4,-15.0
2023-09-11,PE,09:45,19900,84.55,15:15,42.55,65,5495.75,2730.0,Settlement 15:15,126604.5,19895.7,6.65,-9.55
2023-09-12,CE,09:45,20000,90.45,15:15,71.95,65,5879.25,1202.5,Settlement 15:15,127807.0,20018.6,-29.7,19.9
2023-09-13,PE,09:45,20000,70.2,15:15,25.8,65,4563.0,2886.0,Settlement 15:15,130693.0,19989.0,9.45,-14.75
2023-09-14,PE,09:45,20150,51.6,10:02,64.3,65,3354.0,-825.5,SL Hit (64.30 >= 61.92),129867.5,20148.25,-1.6,-13.2
2023-09-15,CE,09:45,20150,114.85,11:08,139.8,65,7465.25,-1621.75,SL Hit (139.80 >= 137.82),128245.75,20152.9,-5.2,1.65
2023-09-18,PE,09:45,20150,64.8,15:15,69.55,65,4212.0,-308.75,Settlement 15:15,127937.0,20164.8,9.65,-10.35
2023-09-20,CE,09:45,20000,76.35,15:15,19.85,65,4962.75,3672.5,Settlement 15:15,131609.5,20004.15,-15.2,2.3
2023-09-21,CE,09:45,19800,29.05,15:15,0.05,65,1888.25,1885.0,Settlement 15:15,133494.5,19809.75,-26.1,16.9
2023-09-22,PE,09:45,19750,93.85,09:56,114.6,65,6100.25,-1348.75,SL Hit (114.60 >= 112.62),132145.75,19737.95,1.95,-7.3
2023-09-25,PE,09:45,19700,84.5,10:06,101.9,65,5492.5,-1131.0,SL Hit (101.90 >= 101.40),131014.75,19680.45,7.75,-18.6
2023-09-26,PE,09:45,19700,75.45,12:40,90.6,65,4904.25,-984.75,SL Hit (90.60 >= 90.54),130030.0,19682.1,1.2,-9.55
2023-09-27,CE,09:45,19600,60.6,11:35,80.45,65,3939.0,-1290.25,SL Hit (80.45 >= 72.72),128739.75,19610.3,-7.15,5.9
2023-09-28,CE,09:45,19700,28.65,10:06,41.25,65,1862.25,-819.0,SL Hit (41.25 >= 34.38),127920.75,19691.55,-26.3,36.45
2023-09-29,CE,09:45,19600,109.6,11:33,131.7,65,7124.0,-1436.5,SL Hit (131.70 >= 131.52),126484.25,19590.1,-14.55,-3.9
2023-10-03,CE,09:45,19500,92.0,15:15,86.25,65,5980.0,373.75,Settlement 15:15,126858.0,19516.3,-16.9,8.3
2023-10-04,CE,09:45,19400,54.95,10:25,66.2,65,3571.75,-731.25,SL Hit (66.20 >= 65.94),126126.75,19394.35,-12.9,9.95
2023-10-05,PE,09:45,19550,26.95,10:27,37.5,65,1751.75,-685.75,SL Hit (37.50 >= 32.34),125441.0,19540.4,9.8,-33.65
2023-10-06,PE,09:45,19600,92.7,15:15,59.55,65,6025.5,2154.75,Settlement 15:15,127595.75,19593.1,3.75,-2.6
2023-10-09,PE,09:45,19550,86.35,12:50,104.65,65,5612.75,-1189.5,SL Hit (104.65 >= 103.62),126406.25,19554.1,12.5,-7.75
2023-10-10,PE,09:45,19600,66.4,15:15,41.2,65,4316.0,1638.0,Settlement 15:15,128044.25,19601.6,0.05,-2.85
2023-10-11,PE,09:45,19800,54.0,15:15,44.55,65,3510.0,614.25,Settlement 15:15,128658.5,19809.45,9.2,-14.65
2023-10-12,CE,09:45,19800,31.2,15:15,1.75,65,2028.0,1914.25,Settlement 15:15,130572.75,19809.4,-28.55,10.3
2023-10-13,PE,09:45,19700,89.5,15:15,73.3,65,5817.5,1053.0,Settlement 15:15,131625.75,19707.75,3.8,-15.9
2023-10-16,PE,09:45,19700,76.05,15:15,65.3,65,4943.25,698.75,Settlement 15:15,132324.5,19714.5,2.5,-4.8
2023-10-17,PE,09:45,19850,71.6,14:02,87.55,65,4654.0,-1036.75,SL Hit (87.55 >= 85.92),131287.75,19832.25,9.95,-16.35
2023-10-18,PE,09:45,19800,47.25,10:45,60.25,65,3071.25,-845.0,SL Hit (60.25 >= 56.70),130442.75,19819.65,14.15,-17.2
2023-10-19,CE,09:45,19550,31.6,09:50,51.2,65,2054.0,-1274.0,SL Hit (51.20 >= 37.92),129168.75,19537.8,-11.85,5.3
2023-10-20,PE,09:45,19550,94.5,11:46,113.4,65,6142.5,-1228.5,SL Hit (113.40 >= 113.40),127940.25,19567.9,3.8,-7.1
2023-10-23,CE,09:45,19550,68.75,15:15,12.45,65,4468.75,3659.5,Settlement 15:15,131599.75,19536.3,-5.05,0.3
2023-10-25,CE,09:45,19300,80.35,15:15,10.85,65,5222.75,4517.5,Settlement 15:15,136117.25,19319.85,-10.5,7.45
2023-10-26,CE,09:45,18950,34.8,15:15,0.15,65,2262.0,2252.25,Settlement 15:15,138369.5,18927.85,-63.2,42.5
2023-10-27,PE,09:45,19000,120.7,15:15,82.15,65,7845.5,2505.75,Settlement 15:15,140875.25,18993.85,14.15,-18.4
2023-10-30,CE,09:45,18950,106.45,10:10,134.25,65,6919.25,-1807.0,SL Hit (134.25 >= 127.74),139068.25,18952.4,-39.1,21.25
2023-10-31,CE,09:45,19150,90.8,15:15,54.4,65,5902.0,2366.0,Settlement 15:15,141434.25,19158.4,-20.9,16.55
2023-11-01,PE,09:45,19050,58.9,09:55,71.65,65,3828.5,-828.75,SL Hit (71.65 >= 70.68),140605.5,19067.15,7.5,-13.75
2023-11-02,PE,09:45,19150,31.2,09:52,39.95,65,2028.0,-568.75,SL Hit (39.95 >= 37.44),140036.75,19161.85,-2.3,-17.5
2023-11-03,PE,09:45,19250,73.7,14:45,94.35,65,4790.5,-1342.25,SL Hit (94.35 >= 88.44),138694.5,19248.65,6.9,-9.55
2023-11-06,PE,09:45,19350,70.6,11:05,93.2,65,4589.0,-1469.0,SL Hit (93.20 >= 84.72),137225.5,19335.8,5.75,-9.0
2023-11-08,CE,09:45,19450,45.4,15:15,38.0,65,2951.0,481.0,Settlement 15:15,137706.5,19425.4,-4.15,-0.2
2023-11-09,PE,09:45,19450,42.8,09:50,59.95,65,2782.0,-1114.75,SL Hit (59.95 >= 51.36),136591.75,19427.35,-5.85,-10.05
2023-11-10,PE,09:45,19350,82.35,15:15,49.1,65,5352.75,2161.25,Settlement 15:15,138753.0,19355.05,-3.1,-5.7
2023-11-13,CE,09:45,19450,71.0,10:04,86.75,65,4615.0,-1023.75,SL Hit (86.75 >= 85.20),137729.25,19448.95,-10.05,5.95
2023-11-15,PE,09:45,19650,58.6,15:15,31.4,65,3809.0,1768.0,Settlement 15:15,139497.25,19625.8,6.9,-23.45
2023-11-16,PE,09:45,19700,20.7,09:50,25.0,65,1345.5,-279.5,SL Hit (25.00 >= 24.84),139217.75,19706.45,35.0,-44.85
2023-11-17,PE,09:45,19800,92.65,13:55,111.65,65,6022.25,-1235.0,SL Hit (111.65 >= 111.18),137982.75,19782.2,25.6,-20.2
2023-11-20,CE,09:45,19700,107.8,10:29,132.6,65,7007.0,-1612.0,SL Hit (132.60 >= 129.36),136370.75,19714.2,-23.05,7.3
2023-11-21,PE,09:45,19800,67.9,15:15,57.15,65,4413.5,698.75,Settlement 15:15,137069.5,19784.15,11.0,-22.15
2023-11-22,PE,09:45,19800,47.6,11:54,60.1,65,3094.0,-812.5,SL Hit (60.10 >= 57.12),136257.0,19807.35,4.4,-5.15
2023-11-23,PE,09:45,19850,21.65,09:46,30.3,65,1407.25,-562.25,SL Hit (30.30 >= 25.98),135694.75,19865.35,0.1,-7.05
2023-11-24,CE,09:45,19800,107.75,15:15,96.85,65,7003.75,708.5,Settlement 15:15,136403.25,19812.15,-23.35,9.0
2023-11-28,PE,09:45,19850,61.8,10:18,74.3,65,4017.0,-812.5,SL Hit (74.30 >= 74.16),135590.75,19830.5,-3.15,-3.95
2023-11-29,PE,09:45,20000,41.5,15:15,12.3,65,2697.5,1898.0,Settlement 15:15,137488.75,20004.8,21.1,-14.35
2023-11-30,CE,09:45,20100,48.1,15:15,31.0,65,3126.5,1111.5,Settlement 15:15,138600.25,20115.3,-14.0,4.25
2023-12-01,PE,09:45,20200,91.0,15:15,81.3,65,5915.0,630.5,Settlement 15:15,139230.75,20222.35,6.9,-6.7
2023-12-04,PE,09:45,20550,79.2,15:15,47.25,65,5148.0,2076.75,Settlement 15:15,141307.5,20564.6,8.9,-24.75
2023-12-05,PE,09:45,20800,96.85,11:33,120.35,65,6295.25,-1527.5,SL Hit (120.35 >= 116.22),139780.0,20786.0,29.3,-33.8
2023-12-06,CE,09:45,20950,70.5,15:15,55.95,65,4582.5,945.75,Settlement 15:15,140725.75,20933.2,-13.5,2.05
2023-12-07,PE,09:45,20900,40.95,09:48,49.85,65,2661.75,-578.5,SL Hit (49.85 >= 49.14),140147.25,20880.9,-7.9,-14.95
2023-12-08,PE,09:45,20950,83.5,11:05,104.05,65,5427.5,-1335.75,SL Hit (104.05 >= 100.20),138811.5,20970.6,13.55,-11.8
2023-12-11,CE,09:45,21000,97.55,10:23,117.95,65,6340.75,-1326.0,SL Hit (117.95 >= 117.06),137485.5,20979.25,-7.0,3.05
2023-12-12,CE,09:45,21000,107.55,15:15,58.0,65,6990.75,3220.75,Settlement 15:15,140706.25,21020.55,-7.75,1.45
2023-12-13,CE,09:45,20900,77.75,15:15,67.35,65,5053.75,676.0,Settlement 15:15,141382.25,20880.0,-17.2,-1.65
2023-12-14,PE,09:45,21150,44.6,15:15,0.1,65,2899.0,2892.5,Settlement 15:15,144274.75,21138.3,8.55,-40.4
2023-12-15,CE,09:45,21250,159.25,10:24,201.05,65,10351.25,-2717.0,SL Hit (201.05 >= 191.10),141557.75,21267.45,-6.65,-0.25
2023-12-18,PE,09:45,21450,114.7,15:15,118.1,65,7455.5,-221.0,Settlement 15:15,141336.75,21434.8,18.35,-14.45
2023-12-19,CE,09:45,21350,107.5,11:12,130.35,65,6987.5,-1485.25,SL Hit (130.35 >= 129.00),139851.5,21373.1,-32.35,15.3
2023-12-20,PE,09:45,21550,50.45,10:07,61.7,65,3279.25,-731.25,SL Hit (61.70 >= 60.54),139120.25,21574.55,18.6,-22.4
2023-12-21,PE,09:45,21100,69.45,09:48,85.35,65,4514.25,-1033.5,SL Hit (85.35 >= 83.34),138086.75,21087.35,13.7,-53.9
2023-12-22,PE,09:45,21300,112.7,13:50,136.95,65,7325.5,-1576.25,SL Hit (136.95 >= 135.24),136510.5,21276.25,5.55,-13.55
2023-12-26,PE,09:45,21350,82.9,15:15,44.8,65,5388.5,2476.5,Settlement 15:15,138987.0,21365.55,12.15,-12.3
2023-12-27,PE,09:45,21550,69.0,15:15,24.4,65,4485.0,2899.0,Settlement 15:15,141886.0,21552.35,21.7,-18.15
2023-12-28,PE,09:45,21750,51.6,10:03,66.85,65,3354.0,-991.25,SL Hit (66.85 >= 61.92),140894.75,21740.55,14.9,-16.2
2023-12-29,PE,09:45,21750,143.75,10:14,178.1,65,9343.75,-2232.75,SL Hit (178.10 >= 172.50),138662.0,21727.75,-1.1,-3.3
2024-01-01,PE,09:45,21700,102.95,15:15,62.2,65,6691.75,2648.75,Settlement 15:15,141310.75,21707.25,-2.15,-7.9
2024-01-02,PE,09:45,21750,91.15,09:55,109.55,65,5924.75,-1196.0,SL Hit (109.55 >= 109.38),140114.75,21731.2,5.95,-6.2
2024-01-03,CE,09:45,21550,92.95,15:15,34.05,65,6041.75,3828.5,Settlement 15:15,143943.25,21570.2,-26.35,12.9
2024-01-04,PE,09:45,21600,25.65,09:48,31.75,65,1667.25,-396.5,SL Hit (31.75 >= 30.78),143546.75,21613.65,9.65,-34.25
2024-01-05,CE,09:45,21700,138.75,15:15,123.15,65,9018.75,1014.0,Settlement 15:15,144560.75,21723.75,-11.2,2.25
2024-01-08,CE,09:45,21650,108.0,10:28,130.1,65,7020.0,-1436.5,SL Hit (130.10 >= 129.60),143124.25,21650.15,-37.25,31.85
