Date,Starting_Capital,Ending_Capital,CE_PnL,PE_PnL,Total_PnL,Return_Pct,Trades_Count,Sold_Leg,Slope_CE,Slope_PE,Strike
2024-12-04,232986.75,228898.25,0.0,-4088.5,-4088.5,-1.7548208213557208,1,PE,33.25,-62.95,24550
2024-12-05,228898.25,227094.5,-1803.75,0.0,-1803.75,-0.7880138882669483,1,CE,13.7,31.1,24500
2024-12-06,227094.5,230328.25,0.0,3233.75,3233.75,1.4239666746662734,1,PE,-1.8,-11.45,24700
2024-12-09,230328.25,233016.0,2687.75,0.0,2687.75,1.166921556517709,1,CE,-17.65,-0.2,24650
2024-12-10,233016.0,229665.25,0.0,-3350.75,-3350.75,-1.437991382566004,1,PE,0.2,-21.65,24650
2024-12-11,229665.25,228014.25,-1651.0,0.0,-1651.0,-0.7188723587917633,1,CE,-14.5,-12.15,24600
2024-12-12,228014.25,227341.5,0.0,-672.75,-672.75,-0.2950473490143708,1,PE,-3.1,-20.6,24650
2024-12-13,227341.5,223279.0,-4062.5,0.0,-4062.5,-1.7869592661260703,1,CE,-72.7,56.0,24400
2024-12-16,223279.0,221134.0,0.0,-2145.0,-2145.0,-0.9606814792255429,1,PE,27.5,12.65,24750
2024-12-17,221134.0,227832.25,6698.25,0.0,6698.25,3.0290457369739614,1,CE,-23.05,15.05,24550
2024-12-18,227832.25,226340.5,0.0,-1491.75,-1491.75,-0.6547580511538643,1,PE,19.4,-47.5,24400
2024-12-19,226340.5,225303.75,-1036.75,0.0,-1036.75,-0.4580488246690274,1,CE,-57.15,-28.05,23950
2024-12-20,225303.75,222382.0,0.0,-2921.75,-2921.75,-1.2968048689824292,1,PE,62.2,-65.85,24050
2024-12-23,222382.0,219398.5,-2983.5,0.0,-2983.5,-1.3416103821352448,1,CE,-42.75,-25.0,23750
2024-12-24,219398.5,220815.5,0.0,1417.0,1417.0,0.6458567401326809,1,PE,6.65,3.35,23750
2024-12-26,220815.5,223734.0,2918.5,0.0,2918.5,1.3216916384945803,1,CE,-21.05,-14.4,23800
2024-12-27,223734.0,224211.75,0.0,477.75,477.75,0.21353482260183967,1,PE,12.6,-42.4,23850
2024-12-30,224211.75,222307.25,-1904.5,0.0,-1904.5,-0.8494202467087474,1,CE,-41.75,14.3,23750
2025-01-01,222307.25,220136.25,-2171.0,0.0,-2171.0,-0.9765763374788721,1,CE,-22.75,21.45,23600
